FeatureID,COMP_ID,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,INCHIKEY,SMILES,CHEMICAL_NAME,PLOT_NAME,CAS,CHEMSPIDER,HMDB,KEGG,PUBCHEM
S267,34396,Lipid,Phospholipid Metabolism,2250,YHHSONZFOIEMCP-UHFFFAOYSA-N,C[N+](C)(CCOP(O)([O-])=O)C,choline phosphate,phosphocholine,72556-74-2,119298,HMDB0001565,C00588,1014
S273,1769,Lipid,Corticosteroids,3334,MFYSYFVPBJMHGN-ZPOLXVRWSA-N,O[C@@]1([C@@](CO)=O)[C@](C2)(C)[C@](CC1)([H])[C@@](CCC3=CC4=O)([H])[C@]([C@@]3(C)CC4)([H])C2=O,cortisone,cortisone,53-06-5,361685,HMDB0002802,C00762,222786
S275,513,Amino Acid,Creatine Metabolism,537,DDRJAANPRJIHGJ-UHFFFAOYSA-N,CN(C(N1)=N)CC1=O,creatinine,creatinine,60-27-5,568,HMDB0000562,C00791,588
S279,56,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",468,LEVWYRKDKASIDU-UHFFFAOYSA-N,NC(C(O)=O)CSSCC(N)C(O)=O,cystine,cystine,56-89-3,575,HMDB0000192,C00491,67678
S282,2372,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",4266,IERHLVCPSMICTF-UHFFFAOYSA-N,NC1=NC(N(C2OC(C(C2O)O)COP(O)(O)=O)C=C1)=O,cytidine 5'-monophosphate (5'-CMP),CMP,63-37-6,5414497,HMDB0000095,C00055,6131
S297,17747,Lipid,Sphingosines,3178,WWUZIQQURGPMPG-CCEZHUSRSA-N,CCCCCCCCCCCCC/C=C/C(C(CO)N)O,sphingosine,sphingosine,123-78-4,4510275,HMDB0000252,C00319,5280335
S30,39583,Lipid,Mevalonate Metabolism,3196,KJTLQQUUPVSXIM-UHFFFAOYSA-N,CC(CCO)(CC(O)=O)O,mevalonate,mevalonate,96949-03-0,388367,HMDB0000227,C02104,449
S302,1114,Lipid,Secondary Bile Acid Metabolism,3498,KXGVEGMKQFWNSR-OHAQSFBXSA-N,CC12[C@@]([C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@@H]2O)([H])CC[C@]1([H])[C@]([H])(C)CCC(O)=O,deoxycholate,deoxycholate,83-44-3,389318,HMDB0000626,C04483,"222528,440355"
S306,6065,Lipid,Sterol,3210,AVSXSVCZWQODGV-UHFFFAOYSA-N,CC12C(C3CC=C4CC(O)CCC4(C)C3CC2)CCC1C(C)CC/C=C(C)/C,desmosterol,desmosterol,313-04-2,388662,HMDB0002719,C01802,439577
S310,15705,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",459,ILRYLPWNYFXEMH-UHFFFAOYSA-N,OC(C(CCSCC(N)C(O)=O)N)=O,cystathionine,cystathionine,535-34-2,811,HMDB0000099,C02291,439258
S313,17769,Lipid,Sphingolipid Synthesis,3018,OTKJDMGTUTTYMP-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(C(CO)N)O,sphinganine,sphinganine,3102-56-5,3014,HMDB0000269,C00836,3126
S330,1643,Energy,TCA Cycle,1466,VZCYOOQTPOCHFL-OWOJBTEDSA-N,OC(/C=C/C(O)=O)=O,fumarate,fumarate,100-17-8,10197150,HMDB0000134,C00122,444972
S331,36738,Peptide,Gamma-glutamyl Amino Acid,649,OWQDWQKWSLFFFR-UHFFFAOYSA-N,O=C(O)C(N)CCC(NC(C(O)=O)CCC(O)=O)=O,gamma-glutamylglutamate,gamma-glutamylglutamate,1116-22-9,83831,HMDB0011737,C05282,92865
S338,587,Xenobiotics,Food Component/Plant,4826,RGHNJXZEOKUKBD-SQOUGZDYSA-N,OC([C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)=O,gluconate,gluconate,527-07-1,10240,HMDB0000625,C00257,"10690,3085666"
S339,396,Lipid,"Fatty Acid, Dicarboxylate",1676,JFCQEDHGNNZCLN-UHFFFAOYSA-N,OC(CCCC(O)=O)=O,glutarate (C5-DC),glutarate (C5-DC),110-94-1,3618533,HMDB0000661,C00489,"743,4418048"
S340,58,Amino Acid,"Glycine, Serine and Threonine Metabolism",1,DHMQDGOQFOQNFH-UHFFFAOYSA-N,NCC(O)=O,glycine,glycine,56-40-6,730,HMDB0000123,C00037,750
S344,43802,Amino Acid,Creatine Metabolism,535,BPMFZUMJYQTVII-UHFFFAOYSA-N,NC(NCC(O)=O)=N,guanidinoacetate,guanidinoacetate,352-97-6,743,HMDB0000128,C00581,763
S347,2849,Nucleotide,"Purine Metabolism, Guanine containing",4196,RQFCJASXJCIDSX-UHFFFAOYSA-N,NC1=NC2=C(C(N1)=O)N=CN2C3OC(C(C3O)O)COP(O)(O)=O,guanosine 5'-monophosphate (5'-GMP),5'- GMP,5550-12-9,741,HMDB0001397,C00144,6804
S348,1411,Nucleotide,"Purine Metabolism, Guanine containing",4219,YKBGVTZYEHREMT-UHFFFAOYSA-N,OC1=C(N=CN2C(CC3O)OC3CO)C2=NC(N)=N1,2'-deoxyguanosine,2'-deoxyguanosine,961-07-9,163230,HMDB0000085,C00330,135398592
S35,42370,Amino Acid,Glutamate Metabolism,64,DWAKNKKXGALPNW-UHFFFAOYSA-N,OC(C1CCC=N1)=O,S-1-pyrroline-5-carboxylate,S-1-pyrroline-5-carboxylate,2906-39-0,10140206,HMDB0001301,C04322,11966181
S355,59,Amino Acid,Histidine Metabolism,72,HNDVDQJCIGZPNO-UHFFFAOYSA-N,NC(C(O)=O)CC1=CN=CN1,histidine,histidine,5934-29-2,752,HMDB0000177,C00135,6274
S356,1712,Lipid,Corticosteroids,3324,JYGXADMDTFJGBT-VWUMJDOOSA-N,O[C@@]1([C@@](CO)=O)[C@]2(C)[C@](CC1)([H])[C@@](CCC3=CC4=O)([H])[C@]([C@@]3(C)CC4)([H])[C@@H](O)C2,cortisol,cortisol,50-23-7,,HMDB0000063,C00735,5754
S358,590,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",476,VVIUBCNYACGLLV-UHFFFAOYSA-N,NCCS(O)=O,hypotaurine,hypotaurine,300-84-5,96959,HMDB0000965,C00519,107812
S361,1123,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4138,UGQMRVRMYYASKQ-KQYNXXCUSA-N,O[C@H]1[C@H](N2C(N=CN=C3O)=C3N=C2)O[C@H](CO)[C@H]1O,inosine,inosine,58-63-9,21241953,HMDB0000195,C00294,6021
S363,1124,Lipid,Inositol Metabolism,2218,CDAISMWEOUEBRE-GPIVLXJGSA-N,O[C@@H]1[C@@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O,myo-inositol,myo-inositol,87-89-8,10239179,HMDB0000211,C00137,892
S376,1125,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",390,AGPKZVBTJJNPAG-UHFFFAOYSA-N,NC(C(O)=O)C(C)CC,isoleucine,isoleucine,73-32-5,769,HMDB0000172,"C06418,C00407,C16424",6306
S381,6146,Amino Acid,Lysine Metabolism,125,OYIFNHCXNCRBQI-UHFFFAOYSA-N,OC(CCCC(N)C(O)=O)=O,2-aminoadipate,2-aminoadipate,"1118-90-7,542-32-5",456,HMDB0000510,C00956,92136
