FeatureID,LIB_ID,COMP_ID,SUPER_PATHWAY,SUB_PATHWAY,TYPE,INCHIKEY,SMILES,CHEMICAL_NAME,CAS,CHEMSPIDER,HMDB,KEGG,PUBCHEM,PLATFORM
F100000299,209,15136,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",NAMED,UBORTCNDUKBEOP-UUOKFMHZSA-N,OC1=C(N=CN2[C@@]3([H])[C@@](O)([H])[C@@](O)([H])[C@](CO)([H])O3)C2=NC(O)=N1,xanthosine,146-80-5,58484,HMDB0000299,C01762,64959,Neg
F100000406,305,15772,Carbohydrate,Pentose Metabolism,NAMED,HEBKCHPVOIAQTA-ZXFHETKHSA-N,OC[C@@H](O)[C@@H](O)[C@@H](O)CO,ribitol,488-81-3,10254628,"HMDB0002917,HMDB0001851,HMDB0000568,HMDB0000508","C00379,C01904,C00474,C00532",6912,Polar
F100000409,305,15667,Xenobiotics,Food Component/Plant,NAMED,BITYXLXUCSKTJS-UHFFFAOYSA-N,OC(CC(O)=O)(C(C)C)C(O)=O,2-isopropylmalate,3237-44-3,76,HMDB0000402,C02504,77,Polar
F100000436,209,18477,Lipid,Secondary Bile Acid Metabolism,NAMED,WVULKSPCQVQLCU-BUXLTGKBSA-N,O=C(NCC(O)=O)CC[C@@H](C)[C@@H]1[C@@]2(C)[C@@H](O)C[C@]3([H])[C@@]4(C)CC[C@@H](O)C[C@@]4([H])CC[C@@]3([H])[C@@]2(CC1)[H],glycodeoxycholate,360-65-6,,HMDB00631,C05464,3035026,Neg
F100000442,305,18335,Xenobiotics,Food Component/Plant,NAMED,AAWZDTNXLSGCEK-WYWMIBKRSA-N,O[C@@]1([C@](O)(C[C@@](C(O)=O)(C[C@]1(O)[H])O)[H])[H],quinate,77-95-2,10246715,HMDB0003072,C00296,6508,Polar
F100000447,209,18280,Amino Acid,Tyrosine Metabolism,NAMED,WXTMDXOMEHJXQO-UHFFFAOYSA-N,O=C(O)C1=CC(O)=CC=C1O,gentisate,490-79-9,3350,HMDB0000152,C00628,3469,Neg
F100000454,400,18319,Amino Acid,Lysine Metabolism,NAMED,JJMDCOVWQOJGCB-UHFFFAOYSA-N,OC(CCCCN)=O,5-aminovalerate,660-88-8,135,HMDB0003355,C00431,138,Pos Early
F100000458,305,18351,Amino Acid,"Glycine, Serine and Threonine Metabolism",NAMED,UKAUYVFTDYCKQA-VKHMYHEASA-N,O=C(O)[C@@H](N)CCO,homoserine,672-15-1,12126,HMDB0000719,C00263,12647,Polar
F100000463,209,18349,Amino Acid,Tryptophan Metabolism,NAMED,XGILAAMKEQUXLS-UHFFFAOYSA-N,OC(C(O)=O)CC1=CNC2=C1C=CC=C2,indolelactate,832-97-3,83867,HMDB0000671,C02043,92904,Neg
F100000467,209,27672,Amino Acid,Tryptophan Metabolism,NAMED,BXFFHSIDQOFMLE-UHFFFAOYSA-N,O=S(OC2=CNC1=CC=CC=C12)(O)=O,3-indoxyl sulfate,2642-37-7,9840,HMDB0000682,,10258,Neg
F100000485,400,46333,Nucleotide,"Purine Metabolism, Adenine containing",NAMED,KHWCHTKSEGGWEX-UHFFFAOYSA-N,NC1=C2C(N(C3C([H])C(O)C(COP(O)(O)=O)O3)C=N2)=NC=N1,2'-deoxyadenosine 5'-monophosphate,653-63-4,601,HMDB0000905,C00360,12599,Pos Early
F100000486,400,17895,Amino Acid,Lysine Metabolism,NAMED,KLPJXDPPMSJWKI-LURJTMIESA-N,N[C@@H](CCCCNC=O)C(O)=O,N6-formyllysine,1190-48-3,64085,,,70923,Pos Early
F100000487,400,18357,Peptide,Dipeptide,NAMED,STKYPAFSDFAEPH-LURJTMIESA-N,CC(C)[C@@H](C(O)=O)NC(CN)=O,glycylvaline,1963-21-9,2006926,HMDB0028854,,2724807,Pos Early
F100000491,400,33422,Peptide,Gamma-glutamyl Amino Acid,NAMED,XHHOHZPNYFQJKL-QWRGUYRKSA-N,O=C(O)[C@H](CC1=CC=CC=C1)NC(CC[C@@H](C(O)=O)N)=O,gamma-glutamylphenylalanine,7432-24-8,99868,HMDB0000594,,111299,Pos Early
F100000551,209,22116,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",NAMED,BKAJNAXTPSGJCU-UHFFFAOYSA-N,CC(C)CC(C(O)=O)=O,4-methyl-2-oxopentanoate,816-66-0,69,HMDB0000695,C00233,70,Neg
F100000631,402,19385,Lipid,Ceramides,NAMED,OBFSLMQLPNKVRW-RHPAUOISSA-N,CCCCCCCC\C=C/CCCCCCCC(N[C@@](CO)([C@](O)(/C=C/CCCCCCCCCCCCC)[H])[H])=O,N-oleoyl-sphingosine (d18:1/18:1)*,5966-28-9,4446676,HMDB0004948,,5283563,Pos Late
