Analysis,CatID,GroupCode,_Imputation_,SDF1_Observed,SDF1
Group-only PMM,10,C,9,59.34,59.34
Group-only PMM,23,C,9,452.94,452.94
Group-only PMM,16,C,9,173.83,173.83
Group-only PMM,20,C,9,908.79,908.79
Group-only PMM,18,D,10,686.49,686.49
Group-only PMM,4,C,10,1041.31,1041.31
Group-only PMM,19,D,10,1412.35,1412.35
Group-only PMM,26,D,10,1205.1,1205.1
Group-only PMM,17,C,10,253.24,253.24
Group-only PMM,22,C,10,400.74,400.74
Group-only PMM,5,C,10,708.48,708.48
Group-only PMM,14,C,10,1387.6,1387.6
Group-only PMM,28,C,10,356.3,356.3
Group-only PMM,12,C,10,762.73,762.73
Group-only PMM,15,C,10,1318.05,1318.05
Group-only PMM,29,C,10,518.66,518.66
Group-only PMM,27,D,10,,686.49
Group-only PMM,21,D,10,942.41,942.41
Group-only PMM,25,C,10,1076.91,1076.91
Group-only PMM,13,C,10,693.81,693.81
Group-only PMM,9,C,10,730.21,730.21
Group-only PMM,3,D,10,410.73,410.73
Group-only PMM,24,D,10,1793.84,1793.84
Group-only PMM,8,C,10,,708.48
Group-only PMM,6,C,10,59.34,59.34
Group-only PMM,11,C,10,745.5,745.5
Group-only PMM,2,D,10,1794.45,1794.45
Group-only PMM,7,C,10,547.82,547.82
Group-only PMM,1,C,10,617.83,617.83
Group-only PMM,10,C,10,59.34,59.34
Group-only PMM,23,C,10,452.94,452.94
Group-only PMM,16,C,10,173.83,173.83
Group-only PMM,20,C,10,908.79,908.79
Group-only PMM,18,D,11,686.49,686.49
Group-only PMM,4,C,11,1041.31,1041.31
Group-only PMM,19,D,11,1412.35,1412.35
Group-only PMM,26,D,11,1205.1,1205.1
Group-only PMM,17,C,11,253.24,253.24
Group-only PMM,22,C,11,400.74,400.74
Group-only PMM,5,C,11,708.48,708.48
Group-only PMM,14,C,11,1387.6,1387.6
Group-only PMM,28,C,11,356.3,356.3
Group-only PMM,12,C,11,762.73,762.73
Group-only PMM,15,C,11,1318.05,1318.05
